ID,html_url,bug_categories,root_cause,fault_location
IDEAM/24,https://github.com/rbccps-iisc/ideam/issues/24,Build and installation issues,CNF,middleware
OPENHAB-CORE/701,https://github.com/openhab/openhab-core/pull/701,performance/crash issues,SWP,cloud 
TUYA-CONVERT/187,https://github.com/ct-Open-Source/tuya-convert/issues/187,"Build and installation issues, Device discovery and identification issues, Device binding/association/ pairing issues",CNF,middleware
DEVICE-OS/1707,https://github.com/particle-iot/device-os/pull/1707,"Device constraint issues, Boot/reboot or physical issues",HWP,hardware
IOTAGENT-UL/235,https://github.com/telefonicaid/iotagent-ul/issues/235,"Protocol incompatibility issues, Device properties status issues, Device registration and provisioning issues",SWP,cloud
DEVICE-OS/1639,https://github.com/particle-iot/device-os/pull/1639,"Firmware exception/hang issues, Network reset/mode-change issues",MEM,hardware
TERRARIUMPI/192,https://github.com/theyosh/TerrariumPI/issues/192,"Firmware exception/hang issues, Device constraint issues, performance/crash issues",CON,hardware
AZURE-IOT-SDK-C/657,https://github.com/Azure/azure-iot-sdk-c/issues/657,"Auth issues, Device registration and provisioning issues",CNF,cloud
DEVICE-OS/1531,https://github.com/particle-iot/device-os/pull/1531,performance/crash issues,CON,hardware
ZWAVE2MQTT/173,https://github.com/OpenZWave/Zwave2Mqtt/issues/173,Build and installation issues,DEP,middleware
AZURE-IOT-SDK-C/906,https://github.com/Azure/azure-iot-sdk-c/issues/906,Build and installation issues,DEP,cloud
BLYNK-SERVER/1160,https://github.com/blynkkk/blynk-server/issues/1160,UI/usability issues,SWP,application
DEVKIT-SDK/431,https://github.com/microsoft/devkit-sdk/issues/431,Device registration and provisioning issues,TM,cloud
SENSOR-ESP32/21,https://github.com/openairproject/sensor-esp32/issues/21,Network discovery/set-up issues,SWP,hardware
AZURE-IOT-SDK-C/755,https://github.com/Azure/azure-iot-sdk-c/issues/755,Build and installation issues,DEP,cloud
VITOWIFI/28,https://github.com/bertmelis/VitoWiFi/issues/28,Network discovery/set-up issues,MEM,hardware
IDEAM/44,https://github.com/rbccps-iisc/ideam/pull/44,Build and installation issues,CNF,cloud
KUBEEDGE/1028,https://github.com/kubeedge/kubeedge/pull/1028,Device discovery and identification issues,MEM,middleware
HOMIE-ESP8266/639,https://github.com/homieiot/homie-esp8266/issues/639,"Build and installation issues, UI/usability issues",CNF,hardware
DEVICE-OS/1252,https://github.com/particle-iot/device-os/issues/1252,"Third-party issues, Disconnetion issues",SEM,hardware
MYSENSORS/1319,https://github.com/mysensors/MySensors/pull/1319,Message payload issues,HWP,hardware
KUBEEDGE/811,https://github.com/kubeedge/kubeedge/issues/811,Build and installation issues,DEP,middleware
OPENHAB-IOS/321,https://github.com/openhab/openhab-ios/issues/321,UI/usability issues,SWP,application
IOTAGENT-UL/97,https://github.com/telefonicaid/iotagent-ul/issues/97,"Protocol incompatibility issues, Message delivery issues",TM,cloud
ZMNINJA/232,https://github.com/pliablepixels/zmNinja/issues/232,UI/usability issues,SWP,application
DEVICEHIVE-JAVA-SERVER/107,https://github.com/devicehive/devicehive-java-server/issues/107,Auth issues,MEM,cloud
AZURE-IOT-SDK-C/814,https://github.com/Azure/azure-iot-sdk-c/issues/814,Connection establishment issues,SWP,cloud
ZMNINJA/90,https://github.com/pliablepixels/zmNinja/issues/90,UI/usability issues,SWP,application
NODE-TRADFRI-CLIENT/33,https://github.com/AlCalzone/node-tradfri-client/issues/33,Message payload issues,EC,middleware
BLYNK-LIBRARY/345,https://github.com/blynkkk/blynk-library/issues/345,"Protocol incompatibility issues, Third-party issues, Device registration and provisioning issues",EC,hardware
DEVICE-OS/1262,https://github.com/particle-iot/device-os/issues/1262,Device properties status issues,HWP,hardware
BLYNK-LIBRARY/310,https://github.com/blynkkk/blynk-library/issues/310,"Device registration and provisioning issues, Device connection status issues",DEP,hardware
AMAZON-DASH/15,https://github.com/Nekmo/amazon-dash/issues/15,Build and installation issues,DEP,application
DEVICE-OS/1567,https://github.com/particle-iot/device-os/pull/1567,"Firmware update issues, Device constraint issues, Message timing/rate/order issues, Unreliable network  issues",TM,hardware
MCS-LITE-APP/212,https://github.com/MCS-Lite/mcs-lite-app/pull/212,UI/usability issues,SWP,application 
AZURE-IOT-SDK-C/774,https://github.com/Azure/azure-iot-sdk-c/issues/774,"Protocol incompatibility issues, performance/crash issues",MEM,cloud
KUBEEDGE/1243,https://github.com/kubeedge/kubeedge/issues/1243,Device properties status issues,CNF,middleware
DEVICE-OS/1270,https://github.com/particle-iot/device-os/pull/1270,"Firmware update issues, Message timing/rate/order issues, Message payload issues",SEM,hardware
IOT-EDGE-V1/541,https://github.com/Azure/iot-edge-v1/issues/541,"Third-party issues, Message delivery issues",MEM,middleware
KURA/218,https://github.com/eclipse/kura/issues/218,UI/usability issues,SWP,middleware
